TargetID	ProbeID	1632405013_R006_C012.Signal CY3	1632405013_R006_C012.Signal CY5	1632405013_R006_C012.Detection Pval	1632405013_R006_C012.Avg_NBEADS	1632405013_R006_C012.BEAD_STDERR	1632405013_R007_C001.Signal CY3	1632405013_R007_C001.Signal CY5	1632405013_R007_C001.Detection Pval	1632405013_R007_C001.Avg_NBEADS	1632405013_R007_C001.BEAD_STDERR	1632405013_R007_C002.Signal CY3	1632405013_R007_C002.Signal CY5	1632405013_R007_C002.Detection Pval	1632405013_R007_C002.Avg_NBEADS	1632405013_R007_C002.BEAD_STDERR	1632405013_R007_C003.Signal CY3	1632405013_R007_C003.Signal CY5	1632405013_R007_C003.Detection Pval	1632405013_R007_C003.Avg_NBEADS	1632405013_R007_C003.BEAD_STDERR	1632405013_R007_C008.Signal CY3	1632405013_R007_C008.Signal CY5	1632405013_R007_C008.Detection Pval	1632405013_R007_C008.Avg_NBEADS	1632405013_R007_C008.BEAD_STDERR	1632405013_R007_C009.Signal CY3	1632405013_R007_C009.Signal CY5	1632405013_R007_C009.Detection Pval	1632405013_R007_C009.Avg_NBEADS	1632405013_R007_C009.BEAD_STDERR	1632405013_R007_C010.Signal CY3	1632405013_R007_C010.Signal CY5	1632405013_R007_C010.Detection Pval	1632405013_R007_C010.Avg_NBEADS	1632405013_R007_C010.BEAD_STDERR	1632405013_R007_C011.Signal CY3	1632405013_R007_C011.Signal CY5	1632405013_R007_C011.Detection Pval	1632405013_R007_C011.Avg_NBEADS	1632405013_R007_C011.BEAD_STDERR	1632405013_R007_C012.Signal CY3	1632405013_R007_C012.Signal CY5	1632405013_R007_C012.Detection Pval	1632405013_R007_C012.Avg_NBEADS	1632405013_R007_C012.BEAD_STDERR	1632405013_R008_C001.Signal CY3	1632405013_R008_C001.Signal CY5	1632405013_R008_C001.Detection Pval	1632405013_R008_C001.Avg_NBEADS	1632405013_R008_C001.BEAD_STDERR
ALLELE SPECIFIC EXTENSION	1142	2777.689	184.6565	0.1074066	33	81.56789	12067.24	2592.033	1.403118E-21	24	981.6201	12250.65	3251.167	1.411868E-26	32	579.9097	5564.612	202.939	0.00391322	38	189.1698	9933.716	1771.547	1.306414E-14	33	672.3618	10834.51	2792.472	4.319548E-23	45	546.4447	10230.7	2656.265	4.753263E-14	29	693.973	12994.97	3101.769	1.633023E-15	40	523.9099	6255.807	2248.606	1.228703E-07	31	527.1028	11140.38	3085.308	1.202551E-21	30	766.7463
ALLELE SPECIFIC EXTENSION	279	6179.874	443.4007	3.273336E-06	30	186.7361	14650.29	624.1448	1.692459E-23	20	1030.227	15479.05	696.9665	4.531022E-29	25	606.0425	4324.407	259.49	0.02983958	33	296.7997	12795.19	601.4402	2.542522E-19	32	740.051	15665.05	631.2604	1.224165E-33	23	1340.719	16118.5	695.4364	1.923563E-24	25	1122.824	18040.88	864.3676	1.346982E-21	23	747.6119	8691.665	567.1892	4.507366E-09	29	740.0145	17320.77	609.8707	4.034919E-35	31	749.5581
ALLELE SPECIFIC EXTENSION	329	8120.426	302.9237	4.851704E-10	26	241.9445	19082.01	505.6913	3.678E-38	31	1436.045	24131.68	552.0129	3.678E-38	28	1139.032	7125.253	227.9246	0.0001080746	32	387.6316	18958.1	578.6957	3.678E-38	35	1147.149	19901.54	676.3064	3.678E-38	37	1114.624	19907.15	616.031	4.100332E-37	23	1478.439	24000.96	693.0649	1.389238E-37	45	752.1582	12087.91	536.1366	2.926897E-17	21	1209.891	25160.94	641.5869	3.678E-38	37	825.3444
EXTENSION GAP	658	4120.357	2215.209	1.063317E-05	31	191.069	3179.803	15047.46	6.313076E-34	24	1533.537	3860.619	20391.47	3.678E-38	31	1347.118	3195.234	968.7922	0.05394195	45	187.8472	2877.809	14615.33	1.028925E-33	25	1577.617	3730.759	16697.86	3.678E-38	33	1544.007	3261.893	16559.79	1.668933E-34	23	1783.968	3650.771	18563.85	3.627217E-30	29	1717.144	1879.441	8643.321	8.351124E-12	26	1049.891	4036.824	19393.44	3.678E-38	32	925.7142
FIRST HYBRIDIZATION	962	4093.404	267.1844	0.006414454	17	233.6767	14632.85	565.9507	2.945383E-23	26	1135.482	19386.2	573.5401	3.678E-38	29	1049.872	788.5779	147.0787	0.6948314	35	37.07057	16634.06	610.2617	1.017129E-32	26	745.4144	17764.24	711.9286	3.678E-38	37	903.0948	15648.48	598.7046	9.453849E-23	35	1036.605	22015.91	676.533	1.572837E-31	32	661.5809	11075.63	591.3329	1.238781E-14	18	1093.839	18816.14	622.3678	3.678E-38	25	879.8976
FIRST HYBRIDIZATION	1209	2356.133	1616.176	0.0161002	35	154.2444	426.0133	14460.92	2.800559E-22	27	1171.913	520.6387	19253.25	3.678E-38	24	902.3526	1962.116	1599.169	0.1126679	31	112.9744	463.0662	14134	4.224074E-23	24	852.8485	578.3557	16736.99	3.678E-38	24	640.5184	598.8768	17279.04	8.583164E-28	20	593.1962	722.1102	18880.15	2.822228E-23	28	569.4944	639.2896	11202.69	4.27001E-15	33	1052.993	488.6556	17671.41	4.554071E-36	18	951.0055
GENDER	1878	2636.479	708.2431	0.05685431	22	187.8423	9791.43	939.8319	2.194721E-11	36	510.8265	11260.41	920.8975	5.103598E-16	29	529.2417	3486.906	734.1538	0.04996598	34	222.3744	4274.674	11245.05	2.979405E-26	29	1276.192	6148.653	11833	3.678E-38	27	1166.052	5906.199	12235.61	1.16761E-28	29	1035.933	7662.466	15981.02	2.452616E-34	32	782.5988	4118.098	9540.011	2.296806E-20	24	1171.266	7172.165	12015.24	3.678E-38	25	615.1515
GENDER	2911	4825.015	303.8195	0.0007512983	42	177.9869	8926.905	1097.577	6.309123E-10	25	448.4518	9278.738	1205.647	1.003467E-11	27	391.832	2506.136	1426.859	0.07266138	26	161.8298	2903.493	13940.57	3.759707E-31	29	850.4093	4315.304	15140.46	3.678E-38	28	969.2382	3333.035	17509.89	3.678E-38	32	1166.364	4310.325	18082.25	1.136816E-30	36	804.9492	2924.212	11446.39	1.14702E-22	28	662.2452	3506.011	17284.13	3.678E-38	29	1089.826
NEGATIVE	137	604.2363	787.4318	0.5641576	32	38.26455	916.7821	402.1549	0.6220934	29	75.56506	1063.81	453.3761	0.6045992	20	53.73542	478.4536	484.4111	0.688551	33	58.48618	959.1591	401.785	0.6182122	29	39.5855	1022.354	479.351	0.5738667	33	42.56668	930.8553	533.7151	0.6451095	20	71.63293	1064.669	507.1825	0.6418598	24	42.31681	856.0613	418.3018	0.6805736	23	109.4839	963.0883	420.3138	0.6188114	37	41.79292
NEGATIVE	526	3260.408	336.5661	0.03538917	18	260.3312	2036.691	397.4255	0.3061557	35	174.106	2434.858	439.9716	0.2146946	30	123.2262	2940.851	297.7197	0.1584606	24	174.446	2295.629	440.0225	0.2261801	39	155.1421	2144.865	437.8567	0.2398968	37	88.98508	2421.472	453.8947	0.2763205	40	97.43602	2549.857	452.342	0.3268993	22	92.35107	2267.229	451.7883	0.2559913	37	214.3439	2262.167	396.1821	0.2515699	26	78.00639
